debut application;fin application;mise a jour;status;cause;titre du message;corps du message;type objet;code objet référentiel IdFM
2021-10-25T23:30:00+02:00;2021-10-26T04:32:00+02:00;2021-11-17T12:05:04+01:00;future;travaux;Ligne H : Paris Nord - Luzarches 25/10 - 3/12;"<p>Dates : du lundi 25 octobre au vendredi 3 décembre sauf week-ends.<br>Les horaires sont modifiés pour le dernier train 125501 à destination de Luzarches.<br><a href=""https://transilien.com/sites/transilien/files/2021-09/20211025-h-horairemodifiepourle125501du25octobreau3decembre2021.pdf"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>A partir de 22h00, la circulation des trains est interrompue entre Paris et Luzarches.<br>En conséquence, des bus de substitution sont mis en place. Attention, les bus en direction de Luzarches sont prévus au départ de Bobigny Pablo Picasso (ligne 5 du métro).<br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211025-H-%2032%20BUS%20PARIS%20LUZARCHES%202510%20au%200312%20%28002%29.pdf"" target="""">Pour les horaires des bus, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211025-h-ligneh-25octobreau3decembre-flyer"" target=""""><br>Pour plus d'informations sur ces grands travaux de nuit, cliquez ici pour télécharger l'affiche pdf.</a><br>La circulation des trains est également interrompue sur les lignes du RER B (entre Gare du Nord et Mitry Claye) et du RER D (entre Paris Gare de Lyon et Creil).<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux de maintenance.</p>";line;C01737
2021-11-08T05:00:00+01:00;2022-03-01T12:10:00+01:00;2021-11-05T10:20:14+01:00;active;perturbation;Réseau SQYBUS : Lignes 422, 449 et 450, à partir du lundi 8 novembre 2021.;"<p>La desserte de l'arrêt ""Collège Alexandre Dumas"" en direction de La Verrière Gare sera dorénavant effectuée à l'abribus situé dans la voie réservée aux bus.<br></p><p><br></p>";line;C01526
2021-12-02T23:00:00+01:00;2021-12-03T04:30:00+01:00;2021-10-26T19:40:09+02:00;future;travaux;Ligne H : Paris-Persan via Montsoult 25/10 au 3/12;"<p>Dates : du lundi 25 octobre au vendredi 3 décembre sauf week-ends.<br>Le trafic est interrompu  :<br>- à partir de 22h00 de Persan - Beaumont via Montsoult - Maffliers vers Paris Gare du Nord<br>- à partir de 23h00 de Paris Gare du Nord vers Persan - Beaumont via Montsoult - Maffliers.<br>En conséquence, un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires. Attention, les bus en direction de Persan via Montsoult sont prévus au départ de Bobigny Pablo Picasso (ligne 5 du métro).<br><a href=""https://transilien.com/sites/transilien/files/2021-10/20211025-h-gh-paris-sarcelles-25au29octobre.pdf  "" target=""""><br>Pour plus d'informations sur les horaires des bus du 25 au 29 octobre entre Paris et Sarcelles St-Brice / Persan Beaumont, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211025-h-ligneh-25octobreau3decembre-flyer"" target=""""><br>Pour plus d'informations sur ces grands travaux de nuit, cliquez ici pour télécharger l'affiche pdf.</a><br>La circulation des trains est également interrompue sur les lignes B (entre Gare du Nord et Mitry Claye) et D (entre Paris Gare de Lyon et Creil).<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux de maintenance.</p>";line;C01737
2021-11-04T17:50:00+01:00;2021-12-18T19:50:00+01:00;2021-11-04T17:53:38+01:00;active;perturbation;PERTURBATION LIGNE 20;<p>DU JEUDI 04 NOVEMBRE 2021 JUSQU’A LA FIN DES TRAVAUX (Estimée au dimanche 18 décembre 2021)</p><p>Nous vous informons qu’en raison de travaux sur la rue du Moulin à Rennemoulin, l’arrêt « Lavoir » est déplacé de 24 mètres en direction de Noisy-le-Roi uniquement (cf. plan ci-dessous). Merci de votre compréhension.</p><p>Pour visualiser la note&nbsp;line;C00416
2021-12-11T23:00:00+01:00;2021-12-12T08:00:00+01:00;2021-11-03T15:45:02+01:00;future;travaux;Ligne L : St-Cloud - St-Nom la Bretèche 11-12/12;"<p>Période : soirée du samedi à partir de 22h00 jusqu'au dimanche matin à 7h00.<br>Dates : samedi 11 et dimanche 12 décembre.<br>Aucun train entre Saint-Cloud et Saint-Nom la Bretèche Forêt de Marly.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211111-l-stcloud-stnom-11et12dec.pdf"" target=""""><br>Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01740
2021-11-24T01:00:00+01:00;2022-03-01T00:59:00+01:00;2021-11-19T17:35:03+01:00;active;perturbation;Travaux Rue Berthelot;"<p><div class=""fckcontainer""><p>&nbsp";line;C00610
2021-12-03T21:00:00+01:00;2021-12-04T04:00:00+01:00;2021-10-06T11:16:03+02:00;future;travaux;Ligne H : ensemble de la ligne 25/10-03/12;"<p>Période : en soirée<br>Dates : du lundi 25 octobre au vendredi 03 décembre, sauf les samedis et les dimanches<br>Le trafic est interrompu sur l'ensemble de la ligne.<br>Un service de bus de remplacement est mis en place<br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211025-H-AfficheTravauxOctobre_A0_03%20%281%29.pdf "" target="""">Pour plus d'informations sur les travaux, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211025-H-%2032%20BUS%20PARIS%20LUZARCHES%202510%20au%200312%20%28002%29.pdf "" target="""">Pour plus d'informations sur les horaires de bus entre Paris et Luzarches du 25/10 au 03/12, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211025-H-%2032%20BUS%20PARIS%20SARCELLES%20PERSAN%202510%20au%200312%20%28002%29.pdf "" target="""">Pour plus d'informations sur les horaires de bus entre Paris et Sarcelles St-Brice/Persan Beaumont du 25/10 au 03/12, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211025-H-32%20BUS%20PONTOISE%20-%20PERSAN%20%2025%20OCT%20AU%2003%20DEC%20%28002%29.pdf "" target="""">Pour plus d'informations sur les horaires de bus entre Pontoise et Persan Beaumont du 25/10 au 03/12, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211025-H-32%20BUS%20ENTRE%20PARIS%20ET%20ERMONT-%20PERSAN%20%202510%20au%200312.pdf "" target="""">Pour plus d'informations sur les horaires de bus entre Paris et Ermont Eaubonne / Persan Beaumont via Valmondois du 25/10 au 03/12, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211025-H-V2-32%20BUS%20PARIS%20PONTOISE%2025%20OCT%20AU%2026%20NOV.pdf "" target="""">Pour plus d'informations sur les horaires de bus entre Paris et Pontoise, et entre Ermont Eaubonne et Pierrelaye du 25/10 au 26/11, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01737
2022-02-28T07:00:00+01:00;2022-02-28T21:00:00+01:00;2021-11-16T18:00:06+01:00;future;perturbation;Perturbations Ligne 23;"<p><div class=""fckcontainer""><br><p>Mesdames, Messieurs,&nbsp";line;C00276
2021-10-18T02:00:00+02:00;2022-01-10T00:59:00+01:00;2021-10-14T04:40:05+02:00;active;perturbation;Ligne 3 - Cormeilles-en-Parisis - Travaux;"<p><div class=""fckcontainer""><p>En raison de travaux, l&rsquo";line;C01681
2021-11-08T01:00:00+01:00;2021-12-01T00:59:00+01:00;2021-10-21T10:36:54+02:00;active;perturbation;Modification de l'Offre;"<p><div class=""fckcontainer""><p>Note FI 21 10 10</p><br><p>A partir du 8 novembre 2021  Les horaires de la 227.02,  sur les courses du matin au d&eacute";line;C01950
